Checkpoint,Avg_PSNR_dB
GAN_1.pt,14.70
GAN_10.pt,15.75
GAN_11.pt,15.80
GAN_12.pt,15.71
GAN_13.pt,15.74
GAN_14.pt,15.78
GAN_15.pt,15.73
GAN_16.pt,15.81
GAN_17.pt,15.69
GAN_18.pt,15.74
GAN_19.pt,15.75
GAN_2.pt,15.30
GAN_20.pt,15.79
GAN_21.pt,15.68
GAN_22.pt,15.80
GAN_23.pt,15.81
GAN_24.pt,15.80
GAN_25.pt,15.78
GAN_26.pt,15.83
GAN_27.pt,15.75
GAN_28.pt,15.80
GAN_29.pt,15.82
GAN_3.pt,15.51
GAN_30.pt,15.74
GAN_31.pt,15.77
GAN_32.pt,15.81
GAN_33.pt,15.81
GAN_34.pt,15.80
GAN_35.pt,15.77
GAN_36.pt,15.76
GAN_37.pt,15.80
GAN_38.pt,15.79
GAN_39.pt,15.81
GAN_4.pt,15.69
GAN_40.pt,15.79
GAN_41.pt,15.83
GAN_42.pt,15.83
GAN_43.pt,15.78
GAN_44.pt,15.78
GAN_45.pt,15.79
GAN_46.pt,15.76
GAN_47.pt,15.74
GAN_48.pt,15.81
GAN_49.pt,15.83
GAN_5.pt,15.50
GAN_50.pt,15.73
GAN_51.pt,15.74
GAN_52.pt,15.76
GAN_6.pt,15.76
GAN_7.pt,15.69
GAN_8.pt,15.69
GAN_9.pt,15.65
