ground,sintetic,segmentation,bingmap
CVUSA_subset\streetview\0000008.jpg,BLURRED_name_train\0000008_generated.png,TRAIN_SEGMENTED\0000008_generated_segmented.png,CVUSA_subset\bingmap\input0000008.png
CVUSA_subset\streetview\0000029.jpg,BLURRED_name_train\0000029_generated.png,TRAIN_SEGMENTED\0000029_generated_segmented.png,CVUSA_subset\bingmap\input0000029.png
CVUSA_subset\streetview\0000035.jpg,BLURRED_name_train\0000035_generated.png,TRAIN_SEGMENTED\0000035_generated_segmented.png,CVUSA_subset\bingmap\input0000035.png
CVUSA_subset\streetview\0000052.jpg,BLURRED_name_train\0000052_generated.png,TRAIN_SEGMENTED\0000052_generated_segmented.png,CVUSA_subset\bingmap\input0000052.png
CVUSA_subset\streetview\0000075.jpg,BLURRED_name_train\0000075_generated.png,TRAIN_SEGMENTED\0000075_generated_segmented.png,CVUSA_subset\bingmap\input0000075.png
CVUSA_subset\streetview\0000078.jpg,BLURRED_name_train\0000078_generated.png,TRAIN_SEGMENTED\0000078_generated_segmented.png,CVUSA_subset\bingmap\input0000078.png
CVUSA_subset\streetview\0000094.jpg,BLURRED_name_train\0000094_generated.png,TRAIN_SEGMENTED\0000094_generated_segmented.png,CVUSA_subset\bingmap\input0000094.png
CVUSA_subset\streetview\0000101.jpg,BLURRED_name_train\0000101_generated.png,TRAIN_SEGMENTED\0000101_generated_segmented.png,CVUSA_subset\bingmap\input0000101.png
CVUSA_subset\streetview\0000106.jpg,BLURRED_name_train\0000106_generated.png,TRAIN_SEGMENTED\0000106_generated_segmented.png,CVUSA_subset\bingmap\input0000106.png
CVUSA_subset\streetview\0000113.jpg,BLURRED_name_train\0000113_generated.png,TRAIN_SEGMENTED\0000113_generated_segmented.png,CVUSA_subset\bingmap\input0000113.png
CVUSA_subset\streetview\0000126.jpg,BLURRED_name_train\0000126_generated.png,TRAIN_SEGMENTED\0000126_generated_segmented.png,CVUSA_subset\bingmap\input0000126.png
CVUSA_subset\streetview\0000127.jpg,BLURRED_name_train\0000127_generated.png,TRAIN_SEGMENTED\0000127_generated_segmented.png,CVUSA_subset\bingmap\input0000127.png
CVUSA_subset\streetview\0000131.jpg,BLURRED_name_train\0000131_generated.png,TRAIN_SEGMENTED\0000131_generated_segmented.png,CVUSA_subset\bingmap\input0000131.png
CVUSA_subset\streetview\0000152.jpg,BLURRED_name_train\0000152_generated.png,TRAIN_SEGMENTED\0000152_generated_segmented.png,CVUSA_subset\bingmap\input0000152.png
CVUSA_subset\streetview\0000177.jpg,BLURRED_name_train\0000177_generated.png,TRAIN_SEGMENTED\0000177_generated_segmented.png,CVUSA_subset\bingmap\input0000177.png
CVUSA_subset\streetview\0000191.jpg,BLURRED_name_train\0000191_generated.png,TRAIN_SEGMENTED\0000191_generated_segmented.png,CVUSA_subset\bingmap\input0000191.png
CVUSA_subset\streetview\0000201.jpg,BLURRED_name_train\0000201_generated.png,TRAIN_SEGMENTED\0000201_generated_segmented.png,CVUSA_subset\bingmap\input0000201.png
